Datum;Zeit;Leistung in kW
30.05.2023;21:11;0,0
30.05.2023;21:26;0,0
30.05.2023;21:41;0,0
30.05.2023;21:56;0,0
30.05.2023;22:11;0,0
30.05.2023;22:26;0,0
30.05.2023;22:41;0,0
30.05.2023;22:56;0,0
30.05.2023;23:11;0,0
30.05.2023;23:26;0,0
30.05.2023;23:41;0,0
30.05.2023;23:56;0,0
31.05.2023;00:11;0,0
31.05.2023;00:26;0,0
31.05.2023;00:41;0,0
31.05.2023;00:56;0,0
31.05.2023;01:11;0,0
31.05.2023;01:26;0,0
31.05.2023;01:41;0,0
31.05.2023;01:56;0,0
31.05.2023;02:11;0,0
31.05.2023;02:26;50,0
31.05.2023;02:41;50,0
31.05.2023;02:56;50,0
31.05.2023;03:11;50,0
31.05.2023;03:26;50,0
31.05.2023;03:41;50,0
31.05.2023;03:56;50,0
31.05.2023;04:11;50,0
31.05.2023;04:26;50,0
31.05.2023;04:41;50,0
31.05.2023;04:56;50,0
31.05.2023;05:11;50,0
31.05.2023;05:26;50,0
31.05.2023;05:41;50,0
31.05.2023;05:56;50,0
31.05.2023;06:11;50,0
31.05.2023;06:26;50,0
31.05.2023;06:41;0,0
31.05.2023;06:56;0,0
31.05.2023;07:11;0,0
31.05.2023;07:26;0,0
31.05.2023;07:41;0,0
31.05.2023;07:56;0,0
31.05.2023;08:11;0,0
31.05.2023;08:26;0,0
31.05.2023;08:41;0,0
31.05.2023;08:56;0,0
31.05.2023;09:11;0,0
31.05.2023;09:26;0,0
31.05.2023;09:41;0,0
31.05.2023;09:56;0,0
31.05.2023;10:11;0,0
31.05.2023;10:26;0,0
31.05.2023;10:41;0,0
31.05.2023;10:56;0,0
31.05.2023;11:11;0,0
31.05.2023;11:26;0,0
31.05.2023;11:41;0,0
31.05.2023;11:56;0,0
31.05.2023;12:11;0,0
31.05.2023;12:26;0,0
31.05.2023;12:41;0,0
31.05.2023;12:56;0,0
31.05.2023;13:11;0,0
31.05.2023;13:26;0,0
31.05.2023;13:41;50,0
31.05.2023;13:56;50,0
31.05.2023;14:11;50,0
31.05.2023;14:26;50,0
31.05.2023;14:41;50,0
31.05.2023;14:56;50,0
31.05.2023;15:11;50,0
31.05.2023;15:26;50,0
31.05.2023;15:41;50,0
31.05.2023;15:56;50,0
31.05.2023;16:11;50,0
31.05.2023;16:26;50,0
31.05.2023;16:41;0,0
31.05.2023;16:56;0,0
31.05.2023;17:11;0,0
31.05.2023;17:26;0,0
31.05.2023;17:41;0,0
31.05.2023;17:56;0,0
31.05.2023;18:11;0,0
31.05.2023;18:26;0,0
31.05.2023;18:41;0,0
31.05.2023;18:56;0,0
31.05.2023;19:11;0,0
31.05.2023;19:26;0,0
31.05.2023;19:41;0,0
31.05.2023;19:56;0,0
31.05.2023;20:11;0,0
31.05.2023;20:26;0,0
31.05.2023;20:41;0,0
31.05.2023;20:56;0,0
